"Label (Grouping)","Total"
"Baldwin County, Alabama",""
"    Estimate","208,563"
"Calhoun County, Alabama",""
"    Estimate","114,611"
"Cullman County, Alabama",""
"    Estimate","82,471"
"DeKalb County, Alabama",""
"    Estimate","70,900"
"Elmore County, Alabama",""
"    Estimate","81,799"
"Etowah County, Alabama",""
"    Estimate","102,564"
"Houston County, Alabama",""
"    Estimate","104,056"
"Jefferson County, Alabama",""
"    Estimate","659,521"
"Lauderdale County, Alabama",""
"    Estimate","92,318"
"Lee County, Alabama",""
"    Estimate","158,991"
"Limestone County, Alabama",""
"    Estimate","92,753"
"Madison County, Alabama",""
"    Estimate","356,967"
"Marshall County, Alabama",""
"    Estimate","95,157"
"Mobile County, Alabama",""
"    Estimate","414,836"
"Montgomery County, Alabama",""
"    Estimate","226,349"
"Morgan County, Alabama",""
"    Estimate","119,012"
"St. Clair County, Alabama",""
"    Estimate","88,019"
"Shelby County, Alabama",""
"    Estimate","210,622"
"Talladega County, Alabama",""
"    Estimate","80,103"
"Tuscaloosa County, Alabama",""
"    Estimate","206,102"
"Walker County, Alabama",""
"    Estimate","64,967"
"Anchorage Municipality, Alaska",""
"    Estimate","298,192"
"Fairbanks North Star Borough, Alaska",""
"    Estimate","100,605"
"Matanuska-Susitna Borough, Alaska",""
"    Estimate","104,365"
"Apache County, Arizona",""
"    Estimate","73,112"
"Cochise County, Arizona",""
"    Estimate","125,770"
"Coconino County, Arizona",""
"    Estimate","140,908"
"Maricopa County, Arizona",""
"    Estimate","4,242,997"
"Mohave County, Arizona",""
"    Estimate","205,249"
"Navajo County, Arizona",""
"    Estimate","110,026"
"Pima County, Arizona",""
"    Estimate","1,016,206"
"Pinal County, Arizona",""
"    Estimate","418,540"
"Yavapai County, Arizona",""
"    Estimate","225,562"
"Yuma County, Arizona",""
"    Estimate","205,631"
"Benton County, Arkansas",""
"    Estimate","258,291"
"Craighead County, Arkansas",""
"    Estimate","105,835"
"Faulkner County, Arkansas",""
"    Estimate","122,227"
"Garland County, Arkansas",""
"    Estimate","97,477"
"Jefferson County, Arkansas",""
"    Estimate","70,016"
"Lonoke County, Arkansas",""
"    Estimate","72,228"
"Pulaski County, Arkansas",""
"    Estimate","393,250"
"Saline County, Arkansas",""
"    Estimate","118,703"
"Sebastian County, Arkansas",""
"    Estimate","127,793"
"Washington County, Arkansas",""
"    Estimate","228,049"
"White County, Arkansas",""
"    Estimate","79,263"
"Alameda County, California",""
"    Estimate","1,647,704"
"Butte County, California",""
"    Estimate","226,864"
"Contra Costa County, California",""
"    Estimate","1,135,127"
"El Dorado County, California",""
"    Estimate","185,625"
"Fresno County, California",""
"    Estimate","979,915"
"Humboldt County, California",""
"    Estimate","136,646"
"Imperial County, California",""
"    Estimate","180,883"
"Kern County, California",""
"    Estimate","884,788"
"Kings County, California",""
"    Estimate","149,785"
"Lake County, California",""
"    Estimate","64,116"
"Los Angeles County, California",""
"    Estimate","10,137,915"
"Madera County, California",""
"    Estimate","154,697"
"Marin County, California",""
"    Estimate","260,651"
"Mendocino County, California",""
"    Estimate","87,628"
"Merced County, California",""
"    Estimate","268,672"
"Monterey County, California",""
"    Estimate","435,232"
"Napa County, California",""
"    Estimate","142,166"
"Nevada County, California",""
"    Estimate","99,107"
"Orange County, California",""
"    Estimate","3,172,532"
"Placer County, California",""
"    Estimate","380,531"
"Riverside County, California",""
"    Estimate","2,387,741"
"Sacramento County, California",""
"    Estimate","1,514,460"
"San Bernardino County, California",""
"    Estimate","2,140,096"
"San Diego County, California",""
"    Estimate","3,317,749"
"San Francisco County, California",""
"    Estimate","870,887"
"San Joaquin County, California",""
"    Estimate","733,709"
"San Luis Obispo County, California",""
"    Estimate","282,887"
"San Mateo County, California",""
"    Estimate","764,797"
"Santa Barbara County, California",""
"    Estimate","446,170"
"Santa Clara County, California",""
"    Estimate","1,919,402"
"Santa Cruz County, California",""
"    Estimate","274,673"
"Shasta County, California",""
"    Estimate","179,631"
"Solano County, California",""
"    Estimate","440,207"
"Sonoma County, California",""
"    Estimate","503,070"
"Stanislaus County, California",""
"    Estimate","541,560"
"Sutter County, California",""
"    Estimate","96,651"
"Tulare County, California",""
"    Estimate","460,437"
"Ventura County, California",""
"    Estimate","849,738"
"Yolo County, California",""
"    Estimate","215,802"
"Yuba County, California",""
"    Estimate","75,275"
"Adams County, Colorado",""
"    Estimate","498,187"
"Arapahoe County, Colorado",""
"    Estimate","637,068"
"Boulder County, Colorado",""
"    Estimate","322,226"
"Broomfield County, Colorado",""
"    Estimate","66,529"
"Denver County, Colorado",""
"    Estimate","693,060"
"Douglas County, Colorado",""
"    Estimate","328,632"
"El Paso County, Colorado",""
"    Estimate","688,284"
"Jefferson County, Colorado",""
"    Estimate","571,837"
"Larimer County, Colorado",""
"    Estimate","339,993"
"Mesa County, Colorado",""
"    Estimate","150,083"
"Pueblo County, Colorado",""
"    Estimate","165,123"
"Weld County, Colorado",""
"    Estimate","294,932"
"Fairfield County, Connecticut",""
"    Estimate","944,177"
"Hartford County, Connecticut",""
"    Estimate","892,389"
"Litchfield County, Connecticut",""
"    Estimate","182,571"
"Middlesex County, Connecticut",""
"    Estimate","163,329"
"New Haven County, Connecticut",""
"    Estimate","856,875"
"New London County, Connecticut",""
"    Estimate","269,801"
"Tolland County, Connecticut",""
"    Estimate","151,118"
"Windham County, Connecticut",""
"    Estimate","116,192"
"Kent County, Delaware",""
"    Estimate","174,827"
"New Castle County, Delaware",""
"    Estimate","556,987"
"Sussex County, Delaware",""
"    Estimate","220,251"
"District of Columbia, District of Columbia",""
"    Estimate","681,170"
"Alachua County, Florida",""
"    Estimate","263,496"
"Bay County, Florida",""
"    Estimate","183,974"
"Brevard County, Florida",""
"    Estimate","579,130"
"Broward County, Florida",""
"    Estimate","1,909,632"
"Charlotte County, Florida",""
"    Estimate","178,465"
"Citrus County, Florida",""
"    Estimate","143,621"
"Clay County, Florida",""
"    Estimate","208,311"
"Collier County, Florida",""
"    Estimate","365,136"
"Columbia County, Florida",""
"    Estimate","69,299"
"Duval County, Florida",""
"    Estimate","926,255"
"Escambia County, Florida",""
"    Estimate","315,187"
"Flagler County, Florida",""
"    Estimate","108,310"
